Gene_accession no.	class
ant(2'')-Ia_1_X04555	aminoglycoside
ant(2'')-Ia_10_HM367617	aminoglycoside
ant(2'')-Ia_11_HM367620	aminoglycoside
ant(2'')-Ia_12_HQ880250	aminoglycoside
ant(2'')-Ia_13_DQ176450	aminoglycoside
ant(2'')-Ia_14_DQ266447	aminoglycoside
ant(2'')-Ia_15_EF205594	aminoglycoside
ant(2'')-Ia_16_HQ386848	aminoglycoside
ant(2'')-Ia_17_JTTZ01000034	aminoglycoside
ant(2'')-Ia_19_GQ466184	aminoglycoside
ant(2'')-Ia_2_JF826500	aminoglycoside
ant(2'')-Ia_20_AY139599	aminoglycoside
ant(2'')-Ia_3_X74412	aminoglycoside
ant(2'')-Ia_4_AF458082	aminoglycoside
ant(2'')-Ia_5_AY139594	aminoglycoside
ant(2'')-Ia_6_AJ871915	aminoglycoside
ant(2'')-Ia_7_DQ018384	aminoglycoside
ant(2'')-Ia_8_AY920928	aminoglycoside
ant(2'')-Ia_9_HM367610	aminoglycoside
ant(3'')-Ia_1_X02340	aminoglycoside
ant(3'')-Ii-aac(6')-IId_1_AF453998	aminoglycoside
ant(4')-Ib_1_AJ506108	aminoglycoside
ant(4')-IIa_1_M98270	aminoglycoside
ant(4')-IIb_1_AY114142	aminoglycoside
ant(6)-Ia_1_AF330699	aminoglycoside
ant(6)-Ia_2_KF421157	aminoglycoside
ant(6)-Ia_3_KF864551	aminoglycoside
ant(6)-Ia_5_AB247327	aminoglycoside
ant(6)-Ib_1_FN594949	aminoglycoside
ant(9)-Ia_1_X02588	aminoglycoside
ant(9)-Ia_2_M69221	aminoglycoside
aph(2'')-Ia_2_AP009486	aminoglycoside
aph(2'')-Ia_3_AJ536195	aminoglycoside
aph(2'')-Ib_1_AF337947	aminoglycoside
aph(2'')-Ib_2_AF207840	aminoglycoside
aph(2'')-Ib_3_KF652098	aminoglycoside
aph(2'')-Ic_1_U51479	aminoglycoside
aph(2'')-Id_1_AF016483	aminoglycoside
aph(2'')-Ie_1_AY743255	aminoglycoside
aph(2'')-If_1_KF652097	aminoglycoside
aph(2'')-If_2_AY701528	aminoglycoside
aph(2'')-Ig_1_CP004067	aminoglycoside
aph(2'')-Ih_1_KF652096	aminoglycoside
aph(3')-Ia_1_V00359	aminoglycoside
aph(3'')-Ia_1_X53527	aminoglycoside
aph(3')-Ia_10_EU855787	aminoglycoside
aph(3'')-Ia_2_AP009493	aminoglycoside
aph(3')-Ia_2_EU287476	aminoglycoside
aph(3')-Ia_3_EF015636	aminoglycoside
aph(3'')-Ia_3_M37378	aminoglycoside
aph(3')-Ia_4_AF498082	aminoglycoside
aph(3')-Ia_5_AP004237	aminoglycoside
aph(3')-Ia_6_L05392	aminoglycoside
aph(3')-Ia_7_X62115	aminoglycoside
aph(3')-Ia_8_Y00452	aminoglycoside
aph(3')-Ia_9_EU722351	aminoglycoside
aph(3')-Ib_1_M20305	aminoglycoside
aph(3'')-Ib_1_M28829	aminoglycoside
aph(3'')-Ib_2_AF024602	aminoglycoside
aph(3')-Ib_2_AJ744860	aminoglycoside
aph(3'')-Ib_3_AF321550	aminoglycoside
aph(3'')-Ib_4_AF313472	aminoglycoside
aph(3'')-Ib_5_AF321551	aminoglycoside
aph(3'')-Ic_1_DQ336355	aminoglycoside
aph(3')-Id_1_Z48231	aminoglycoside
aph(3')-IIa_1_X57709	aminoglycoside
aph(3')-IIa_2_V00618	aminoglycoside
aph(3')-IIb_1_X90856	aminoglycoside
aph(3')-IIb_2_CP006832	aminoglycoside
aph(3')-IIc_1_AM743169	aminoglycoside
aph(3')-III_1_M26832	aminoglycoside
aph(3')-IIIa_1_AF330699	aminoglycoside
aph(3')-IIIa_2_AJ490186	aminoglycoside
aph(3')-IIIa_3_AB247327	aminoglycoside
aph(3')-IV_1_X03364	aminoglycoside
aph(3')-IX_1_APPN01000061	aminoglycoside
aph(3')-Va_1_K00432	aminoglycoside
aph(3')-Va_2_AB211959	aminoglycoside
aph(3')-Vb_1_M22126	aminoglycoside
aph(3')-Vb_2_AJ744850	aminoglycoside
aph(3')-Vc_1_S81599	aminoglycoside
aph(3')-VI_1_KC170992	aminoglycoside
aph(3')-VI_2_APPJ01000012	aminoglycoside
aph(3')-VIa_1_X07753	aminoglycoside
aph(3')-VIb_1_AJ627643	aminoglycoside
aph(3')-VIIa_1_M29953	aminoglycoside
aph(3')-VIII_1_ATGI01000028	aminoglycoside
aph(3')-XV_1_Y18050	aminoglycoside
aph(3')-XV_2_GQ626879	aminoglycoside
aph(3')-XV_3_EU165039	aminoglycoside
aph(4)-Ia_1_V01499	aminoglycoside
aph(6)-Ia_1_AY971801	aminoglycoside
aph(6)-Ia_2_Y00459	aminoglycoside
aph(6)-Ib_1_X05648	aminoglycoside
aph(6)-Ic_1_X01702	aminoglycoside
aph(6)-Id_1_M28829	aminoglycoside
aph(6)-Id_2_AF024602	aminoglycoside
aph(6)-Id_3_AB109805	aminoglycoside
aph(6)-Id_4_CP000971	aminoglycoside
aph(6)-Id_5_18676889	aminoglycoside
aph(7'')-Ia_1_X03615	aminoglycoside
aph(9)-Ia_1_U94857	aminoglycoside
aph(9)-Ia_2_CR628337	aminoglycoside
aph(9)-Ib_1_U70376	aminoglycoside
armA_1_AY220558	aminoglycoside
fmrO_1_Q08325	aminoglycoside
grmA_1_M55520	aminoglycoside
grmB_1_M55521	aminoglycoside
grmO_1_AY524043	aminoglycoside
kamB_1_AJ629123	aminoglycoside
kgmB_1_S60108	aminoglycoside
kmr_1_ENA_ACB88605	aminoglycoside
npmA_1_AB261016	aminoglycoside
rmtA_1_AB120321	aminoglycoside
rmtB_1_AB103506	aminoglycoside
rmtB2_1_JN968578	aminoglycoside
rmtC_1_AB194779	aminoglycoside
rmtD_1_DQ914960	aminoglycoside
rmtD2_1_HQ401565	aminoglycoside
rmtE_1_GU201947	aminoglycoside
rmtF_1_JQ808129	aminoglycoside
rmtG_1_JX486113	aminoglycoside
rmtH_1_KC544262	aminoglycoside
sgm_1_M87057	aminoglycoside
str_1_X92946	aminoglycoside
str_2_FN435330	aminoglycoside
str_3_AM932524	aminoglycoside
aac(2')-Ia_1_L06156	aminoglycoside
aac(2')-Ib_1_U41471	aminoglycoside
aac(2')-Ic_1_U72714	aminoglycoside
aac(2')-Id_1_U72743	aminoglycoside
aac(2')-Ie_1_NC011896	aminoglycoside
aac(2')-IIa_1_AB669090	aminoglycoside
aac(3)-I_1_AJ877225	aminoglycoside
aac(3)-Ia_1_X15852	aminoglycoside
aac(3)-Ib_1_L06157	aminoglycoside
aac(3)-Ib-aac(6')-Ib_1_AF355189	aminoglycoside
aac(3)-Ic_1_AJ511268	aminoglycoside
aac(3)-Id_1_AB114632	aminoglycoside
aac(3)-If_1_AY884051	aminoglycoside
aac(3)-Ig_1_CP000282	aminoglycoside
aac(3)-Ih_1_CP000490	aminoglycoside
aac(3)-Ii_1_CP000356	aminoglycoside
aac(3)-IIa_1_X51534	aminoglycoside
aac(3)-IIa_2_AY138987	aminoglycoside
aac(3)-IIa_3_X13543	aminoglycoside
aac(3)-IIa_4_L22613	aminoglycoside
aac(3)-IIa_5_FJ012882	aminoglycoside
aac(3)-IIa_6_CP023555	aminoglycoside
aac(3)-IIb_1_M97172	aminoglycoside
aac(3)-IIc_1_X54723	aminoglycoside
aac(3)-IId_1_EU022314	aminoglycoside
aac(3)-IIe_1_EU022315	aminoglycoside
aac(3)-IIIa_1_X55652	aminoglycoside
aac(3)-IIIb_1_L06160	aminoglycoside
aac(3)-IIIb_2_LLLC01000048	aminoglycoside
aac(3)-IIIc_1_L06161	aminoglycoside
aac(3)-IV_1_DQ241380	aminoglycoside
aac(3)-IVa_1_X01385	aminoglycoside
aac(3)-IXa_1_M55427	aminoglycoside
aac(3)-VIa_1_M88012	aminoglycoside
aac(3)-VIa_2_NC_009838	aminoglycoside
aac(3)-VIIa_1_M22999	aminoglycoside
aac(3)-VIII_1_AB211959	aminoglycoside
aac(3)-VIII_2_AJ843080	aminoglycoside
aac(3)-VIII_3_AJ748131	aminoglycoside
aac(3)-VIIIa_1_M55426	aminoglycoside
aac(3)-Xa_1_AB028210	aminoglycoside
aac(3)-XI_1_CTEG01000046	aminoglycoside
aac(6')-29a_1_AF263519	aminoglycoside
aac(6')-29b_1_AF263519	aminoglycoside
aac(6')-30-aac(6')-Ib'_1_AJ584652	aminoglycoside
aac(6')-31_1_AM283489	aminoglycoside
aac(6')-32_1_EF614235	aminoglycoside
aac(6')-33_1_GQ337064	aminoglycoside
aac(6')-aph(2'')_1_M13771	aminoglycoside
aac(6')-I30_1_AY289608	aminoglycoside
aac(6')-Ia_1_M18967	aminoglycoside
aac(6')-Ia_2_M86913	aminoglycoside
aac(6')-Iad_1_AB119105	aminoglycoside
aac(6')-Iae_1_AB104852	aminoglycoside
aac(6')-Iaf_1_AB462903	aminoglycoside
aac(6')-Iag_1_AB472901	aminoglycoside
aac(6')-Iai_1_EU886977	aminoglycoside
aac(6')-Iaj_1_AB709942	aminoglycoside
aac(6')-Iak_1_AB894482	aminoglycoside
aac(6')-Ian_1_AP014611	aminoglycoside
aac(6')-Ib_1_M21682	aminoglycoside
aac(6')-Ib_2_M23634	aminoglycoside
aac(6')-Ib11_1_AY136758	aminoglycoside
aac(6')-Ib3_1_X60321	aminoglycoside
aac(6')-Ib-cr_1_DQ303918	aminoglycoside, quinolone
aac(6')-Ib-cr_2_EF636461	aminoglycoside, quinolone
aac(6')-Ib-Hangzhou_1_FJ503047	aminoglycoside
aac(6')-Ic_1_M94066	aminoglycoside
aac(6')-If_1_X55353	aminoglycoside
aac(6')-Ig_1_L09246	aminoglycoside
aac(6')-Ih_1_L29044	aminoglycoside
aac(6')-Ih_2_KT778788	aminoglycoside
aac(6')-Ii_1_L12710	aminoglycoside
aac(6')-IIa_1_M29695	aminoglycoside
aac(6')-IIb_1_L06163	aminoglycoside
aac(6')-IIc_1_NC_012555	aminoglycoside
aac(6')-Iid_1_AJ584700	aminoglycoside
aac(6')-Iih_1_AJ584701	aminoglycoside
aac(6')-Ij_1_L29045	aminoglycoside
aac(6')-Ik_1_L29510	aminoglycoside
aac(6')-Il_1_U13880	aminoglycoside
aac(6')-Im_1_AF337947	aminoglycoside
aac(6')-Im_2_Z54241	aminoglycoside
aac(6')-Iq_1_AF047556	aminoglycoside
aac(6')-Ir_1_AF031326	aminoglycoside
aac(6')-Is_1_AF031327	aminoglycoside
aac(6')-Isa_1_AB116646	aminoglycoside
aac(6')-It_1_AF031328	aminoglycoside
aac(6')-Iu_1_AF031329	aminoglycoside
aac(6')-Iv_1_AF031330	aminoglycoside
aac(6')-Iw_1_AF031331	aminoglycoside
aac(6')-Ix_1_AF031332	aminoglycoside
aac(6')-Iz_1_AF140221	aminoglycoside
aac(6')-Iz_2_AB971834	aminoglycoside
aac(6')-Iaa_1_NC_003197	aminoglycoside
aacA43_1_HQ247816	aminoglycoside
aadA1_2_FJ591054	aminoglycoside
aadA1_3_JQ414041	aminoglycoside
aadA1_4_JQ480156	aminoglycoside
aadA1_5_JX185132	aminoglycoside
aadA10_1_U37105	aminoglycoside
aadA10_2_AM087405	aminoglycoside
aadA11_1_AY144590	aminoglycoside
aadA11_2_AJ567827	aminoglycoside
aadA12_1_AY665771	aminoglycoside
aadA13_1_AY713504	aminoglycoside
aadA13_2_NC010643	aminoglycoside
aadA14_1_AJ884726	aminoglycoside
aadA15_1_DQ393783	aminoglycoside
aadA16_1_EU675686	aminoglycoside
aadA17_1_FJ460181	aminoglycoside
aadA1b_1_M95287	aminoglycoside
aadA2_1_NC_010870	aminoglycoside
aadA2_2_JQ364967	aminoglycoside
aadA21_1_AY171244	aminoglycoside
aadA22_1_AM261837	aminoglycoside
aadA23_1_AJ809407	aminoglycoside
aadA24_1_AM711129	aminoglycoside
aadA24_1_DQ677333	aminoglycoside
aadA2b_1_D43625	aminoglycoside
aadA3_1_AF047479	aminoglycoside
aadA4_1_Z50802	aminoglycoside
aadA5_1_AF137361	aminoglycoside
aadA6_1_AF140629	aminoglycoside
aadA7_1_AF224733	aminoglycoside
aadA7_2_AB114632	aminoglycoside
aadA8_1_AF326210	aminoglycoside
aadA8b_1_AY139603	aminoglycoside
aadA8b_2_AM040708	aminoglycoside
aadA9_1_AJ420072	aminoglycoside
aadD_1_AF181950	aminoglycoside
aadD_2_M19465	aminoglycoside
